CODE,MIN,MODE,MAX,COMMENTS
854228,0.0,46.52,141.28,0.3 ML enoxaparin sodium 100 MG/ML Prefilled Syringe
856980,0.0,52.95,108.8,acetaminophen 300 MG / hydrocodone bitartrate 10 MG Oral Tablet
860975,0.0,10.72,18.32,24 HR metformin hydrochloride 500 MG Extended Release Oral Tablet
864706,0.0,20.63,38.18,methadone hydrochloride 10 MG Oral Tablet
883826,101.16,108.98,116.81,tranexamic acid 650 MG Oral Tablet
993770,0.0,4.88,8.93,acetaminophen 300 MG / codeine phosphate 15 MG Oral Tablet
1043400,0.0,0.0,0.0,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution
1049635,0.0,36.01,60.16,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet
1116758,145.74,161.6,177.46,chloroquine phosphate 500 MG Oral Tablet
1191222,0.0,10.54,73.8,naloxone hydrochloride 0.4 MG/ML Injectable Solution
1363309,0.0,0.6,3.02,chlorpheniramine maleate 4 MG Oral Tablet
1659263,0.0,28.42,50.49,"1 ML heparin sodium, porcine 5000 UNT/ML Injection"
311989,0.0,838.82,2516.46,nitrofurantoin 5 MG/ML Oral Suspension
2123111,0.0,15.02,30.04,NDA020503 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler
311372,0.0,2.38,12.64,loratadine 10 MG Oral Tablet
360110,869.05,944.5,1027.96,sirolimus 2 MG Oral Tablet
835603,0.0,4.71,9.45,tramadol hydrochloride 50 MG Oral Tablet
849574,0.0,2.37,12.89,naproxen sodium 220 MG Oral Tablet
312961,0.0,6.21,13.59,simvastatin 20 MG Oral Tablet
313782,0.0,2.64,15.98,acetaminophen 325 MG Oral Tablet
596926,0.0,23.4,46.98,duloxetine 20 MG Delayed Release Oral Capsule
198240,20.32,22.28,25.2,tamoxifen 10 MG Oral Tablet
748962,0.0,14.79,29.59,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Camila 28 Day]
197591,4.1,5.43,9.38,diazepam 5 MG Oral Tablet
199224,0.0,21.93,43.69,anastrozole 1 MG Oral Tablet
727762,0.0,521.16,1283.32,5 ML fulvestrant 50 MG/ML Prefilled Syringe
597195,0.0,42.7,75.05,carboplatin 10 MG/ML Injectable Solution
313572,25.0,103.43,177.74,vancomycin 50 MG/ML Injectable Solution
241834,0.0,140.25,246.3,"cyclosporine, modified 100 MG Oral Capsule"
243670,0.0,0.0,0.0,aspirin 81 MG Oral Tablet
308460,0.0,8.63,16.64,azithromycin 250 MG Oral Tablet
313096,0.0,9.39,12.95,spironolactone 25 MG Oral Tablet
831533,0.0,15.0,30.0,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Errin 28 Day]
1719286,0.0,15.67,47.93,10 ML furosemide 10 MG/ML Injection
1737449,0.0,23.8,47.6,10 ML pamidronate disodium 3 MG/ML Injection
1740467,0.0,6.41,16.26,2 ML ondansetron 2 MG/ML Injection
857005,0.0,16.33,33.58,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet
856987,0.0,20.74,37.69,acetaminophen 300 MG / hydrocodone bitartrate 5 MG Oral Tablet
855332,0.0,10.86,25.01,warfarin sodium 5 MG Oral Tablet
861467,712.97,1425.93,2851.86,meperidine hydrochloride 50 MG Oral Tablet
865098,133.76,495.5,857.25,insulin lispro 100 UNT/ML Injectable Solution [Humalog]
966222,0.0,12.85,19.41,levothyroxine sodium 0.075 MG Oral Tablet
997223,0.0,7.89,19.7,donepezil hydrochloride 10 MG Oral Tablet
1000126,0.0,33.83,65.43,1 ML medroxyprogesterone acetate 150 MG/ML Injection
1049630,0.0,1.1,6.79,diphenhydramine hydrochloride 25 MG Oral Tablet
1114085,0.0,64.04,150.98,100 ML zoledronic acid 0.04 MG/ML Injection
1791701,0.0,14.74,63.38,10 ML fluorouracil 50 MG/ML Injection
1483744,0.0,43.99,61.7,naltrexone hydrochloride 50 MG Oral Tablet
1659149,0.0,121.45,281.74,piperacillin 4000 MG / tazobactam 500 MG Injection
310325,0.0,0.89,4.89,ferrous sulfate 325 MG Oral Tablet
198014,0.0,6.34,11.75,naproxen 500 MG Oral Tablet
310965,0.0,0.74,6.9,ibuprofen 200 MG Oral Tablet
106258,0.0,7.87,48.51,hydrocortisone 10 MG/ML Topical Cream
312617,0.0,6.11,10.85,prednisone 5 MG Oral Tablet
311995,0.0,24.82,41.24,"nitrofurantoin, macrocrystals 50 MG Oral Capsule"
314231,0.0,6.66,12.16,Simvastatin 10 MG Oral Tablet
308182,0.0,3.66,4.62,amoxicillin 250 MG Oral Capsule
309045,32.7,65.4,130.8,cefaclor 250 MG Oral Capsule
200064,0.0,30.67,52.88,letrozole 2.5 MG Oral Tablet
309362,0.0,11.33,43.82,clopidogrel 75 MG Oral Tablet
834102,0.0,6.92,9.14,penicillin V potassium 500 MG Oral Tablet
313988,4.27,6.52,8.92,furosemide 40 MG Oral Tablet
245134,0.0,45.23,62.72,72 HR fentanyl 0.025 MG/HR Transdermal System
1870230,98.55,197.09,394.18,NDA020800 0.3 ML epinephrine 1 MG/ML Auto-Injector
198031,0.0,20.06,47.35,24 HR nicotine 0.292 MG/HR Transdermal System
205923,0.0,140.41,280.82,1 ML epoetin alfa 4000 UNT/ML Injection [Epogen]
206905,4.36,4.89,5.42,ibuprofen 400 MG Oral Tablet [Ibu]
