CODE,MIN,MODE,MAX,COMMENTS
70536003,542.33,883.97,1482.64,"50360,50365"
265764009,0.05,184.3,385.35,90935
710824005,0.0,42.5,116.3,96156
454711000124102,0.01,6.81,15.84,G0444
762993000,0.0,0.0,0.02,M1069
428211000124100,0.0,0.76,11.13,99408
710841007,-0.03,2.77,12.79,96127
430193006,0.26,82.87,199.43,99495
763302001,0.01,9.11,20.7,G0442
713106006,0.0,0.76,11.13,99408
866148006,0.04,0.46,5.19,99401
73761001,0.72,281.48,602.48,45378
25656009,1.66,3.31,5.41,99397
312681000,0.02,23.08,50.24,77080
370789001,0.03,27.77,74.58,99497
58000006,0.05,23.28,60.42,99238
90226004,0.0,0.16,7.26,88155
35025007,0.01,20.64,43.8,G0101
274031008,0.0,0.0,0.0,45308
274474001,0.0,36.31,86.65,29515
127783003,0.04,26.89,105.48,94010
371908008,0.0,5.97,21.07,94640
711069006,0.03,27.77,74.58,99497
288086009,0.07,21.15,51.35,12001
23426006,0.04,26.89,105.48,94010
117015009,0.01,4.16,9.5,87070
703423002,0.0,159.43,274.82,G0498
1225002,0.01,5.96,16.35,73060
168594001,-0.03,15.38,41.45,73000
269911007,0.03,11.6,29.18,88108
19490002,0.03,9.76,27.4,73610
399208008,0.02,16.55,46.65,71046
60027007,0.02,8.2,23.22,73100
133899007,0.0,16.95,50.91,99024
46706006,0.48,6.91,79.14,58300
385798007,0.17,202.59,366.75,77427
33195004,124.79,206.78,273.88,77306
67879005,0.07,30.31,83.92,99202
268425006,0.01,5.84,15.85,72170
313660005,0.01,19.62,43.18,86360
43075005,1055.63,2311.39,3635.72,44140
65546002,0.0,0.35,6.7,D7230
225386006,0.05,23.28,60.42,99238
29303009,0.05,322.13,816.84,93229
384700001,0.02,5.68,19.73,90714
408919008,0.03,37.94,102.62,90832
76164006,0.25,371.1,731.5,45380
74016001,0.02,7.8,21.91,73560
415300000,0.22,55.77,152.37,99204
426701000119108,0.07,41.48,109.28,76705
14768001,0.01,18.14,45.64,85060
162676008,0.07,30.31,83.92,99202
699253003,382.9,494.48,672.21,27570
45595009,1.19,1969.69,3220.64,47562
392091000,0.01,18.51,89.75,G0506
433114000,0.04,35.99,78.65,88360
434363004,0.0,73.7,179.84,88361
1571000087109,0.07,53.88,147.62,76641
112790001,0.32,121.3,224.9,31231
392021009,1062.83,1564.16,2171.11,19120
24623002,0.01,10.46,22.54,77063
38102005,498.67,1390.75,2503.41,47600
241055006,0.12,53.57,153.39,77066
387685009,410.81,667.4,1143.51,23700
413107006,0.0,20.34,45.34,87522
80146002,1134.24,2007.45,4840.09,44950
171128005,0.0,8.12,20.23,G0432
54550000,242.97,337.9,436.46,95953
112798008,0.13,89.91,195.77,31500
313613002,0.01,5.87,12.45,86708
386510005,0.0,179.99,274.23,28800
104308009,1.99,6.44,13.68,86777
171122006,0.01,2.87,8.45,87340
171126009,0.01,5.06,16.53,86580
71121004,0.0,8.12,20.23,G0432
180207008,0.0,105.67,249.47,36430
180030006,927.54,1175.86,1535.67,28820
180325003,0.28,176.28,400.72,92960
313077009,0.0,6.97,15.88,G0445
412809002,0.01,3.99,10.16,"86704,86706,86708,87340"
63332003,0.07,30.31,83.92,99202
711018006,67.0,89.37,112.2,96150
79733001,5583.17,6063.49,6769.39,27590
15220000,0.0,175.37,1026.52,87999
88039007,1180.36,1431.74,1955.42,32851
234262008,0.0,606.06,756.34,38505
108290001,50.87,90.62,162.24,"77402,77407,77412"
385763009,0.0,0.02,0.25,"G0156,G0299,G0155,G9857,G9858,S9126"
243185007,0.0,502.4,845.52,A0433
373655009,-1.05,23.94,426.61,A0999
715537001,-1.05,23.94,426.61,A0999
252465000,0.0,0.56,2.71,A4606
384728007,222.02,464.89,742.94,"A4606,A4637,L4392,L5700,L5701,L5702"
386760001,0.0,0.0,0.0,A4736
745638006,0.0,0.0,0.0,A4737
12792005,0.0,0.0,0.0,A9180
87750000,0.0,0.0,0.0,"B4081,B4082"
410023005,-0.76,7.44,43.53,C1714
5431005,-0.61,6.0,31.41,"C1714,C1724,C1725,C1885"
65659003,-0.73,11.41,49.05,C1724
35631009,-0.94,2.63,25.46,C1885
239542002,-40.26,13.6,359.05,"C2614,S2350"
178668000,-60.39,20.4,538.57,C2614
427357007,0.0,15.14,64.3,C2618
241667009,51.89,156.58,301.78,"C8901,C8902"
394531000119101,103.78,149.74,268.56,C8901
432634008,5.73,80.04,194.51,C8903
241615005,67.41,148.6,257.87,"C8905,C8908"
16334561000119101,0.0,101.58,170.66,C8910
702682005,0.0,96.88,186.18,"C8910,C8911"
90084008,58.66,137.38,376.78,"C8913,C8935"
711274006,163.74,348.56,750.2,"C8913,C8914"
241669007,0.0,79.32,180.13,C8920
473381003,158.26,291.97,501.34,"C8921,C8922"
433236007,95.51,245.82,361.28,"C8923,C8924,C8928,C8929,C8930"
442921007,213.8,297.68,374.74,C8925
473197003,0.0,0.0,0.0,C8926
105376000,184.52,273.16,432.94,C8927
76746007,250.65,346.36,421.34,C8928
266706003,0.0,345.06,476.32,C8930
443077003,350.95,350.95,350.95,C8933
709573006,27.97,83.27,111.69,"C8935,C8936"
363688001,9.04,11.79,17.71,"Q0083,Q0084,Q0085"
609153008,1299.66,4440.31,6042.43,"C9600,C9601,C9602,C9603"
232727003,2599.32,6528.89,7514.23,"C9602,C9603"
31413008,2832.63,3304.06,4659.1,"C9604,C9605,C9606,C9607,C9608"
81266008,3540.78,4012.8,4630.08,"C9604,C9605,C9607,C9608"
276272002,1770.49,2065.99,2914.55,"C9604,C9605,C9606,C9607,C9608,P9612,P9615,S2095"
275227003,0.0,469.08,4775.2,C9606
169370006,0.0,0.0,0.0,C9725
169368002,0.0,192.11,600.24,C9726
392090004,0.0,192.11,600.24,C9726
68972003,182.89,326.11,546.1,"C9728,G0269"
258174001,0.0,703.42,1423.29,G0340
278939002,0.0,72.48,130.24,V2626
420040002,26.0,67.08,184.01,C9733
59180001,0.0,43.19,74.27,G0429
711028002,0.0,0.0,0.0,G8453
183298008,18.32,33.98,65.14,E0153
243751002,0.0,13.5,34.42,E0154
31394004,0.0,0.0,0.0,"E0202,S9098"
442937001,0.0,0.0,0.0,E1011
11900001,0.0,0.0,0.0,G0027
15886004,-0.68,16.44,40.98,"G0101,G0102"
46662001,0.0,12.39,26.28,"G0101,S0613"
171233003,0.01,20.64,43.8,G0101
83607001,0.0,7.46,16.61,"G0101,S0610,S0612,S0613"
410006001,-1.71,10.15,36.75,G0102
44441009,0.0,250.28,510.96,G0104
268548003,19.84,142.87,273.32,"G0104,G0105,G0106,G0120,G0121,G0122,G0328"
225314003,0.0,29.1,58.46,"G0105,G0117,G0118,G8961,G8962,G8963,G8964,G8965,G8966,H1000,H1001,H1002,H1004,H1005"
444783004,42.52,231.83,434.16,"G0105,G0120,G0121"
168836005,49.59,66.62,115.31,"G0106,G0120,G0122"
24420007,0.0,0.0,0.0,G0106
104435004,0.0,0.0,0.0,"G0107,G0464"
171215009,0.0,4.54,22.16,"G0117,G0118"
57242004,0.0,16.12,28.32,"G0123,G0143"
43691007,0.0,17.04,30.81,"G0123,G0143,G0144,G0145,G0147"
20135006,1.18,8.96,17.88,"G0124,G0141,G0144,G0145,G0147,G0148,S0601,T1023,V5362,V5363"
609307008,1.96,14.93,29.68,"G0124,G0141,G0144,G0145,G0147,G0148"
77485009,3.92,12.21,26.88,"G0124,G0141,G0148"
8367003,0.0,14.04,43.44,G0127
84478008,0.17,1.82,7.03,"G0129,G0152,G0158,S9129"
311555007,0.0,0.0,0.0,G0153
410401003,0.0,0.03,0.32,"G0299,G0300,Q5001,G0155"
183418007,0.0,0.0,0.0,G0155
277458000,35.11,72.63,130.72,G0130
23572007,35.11,72.63,130.72,G0130
308440001,0.0,0.0,0.0,G0155
713146000,0.0,0.0,0.0,G0156
419038004,20.95,76.22,193.69,G0166
65206009,102.95,123.72,158.63,"G0175,S0220"
430884008,-0.26,1.01,5.86,"G0176,H2032"
390823002,-0.39,1.52,8.79,G0176
409066002,0.0,1.85,8.68,G0177
50357006,3.39,28.6,71.32,"G0181,G0249,G0398,G0399,G0400,S0280,S0281,S9001,S9110,S9129,S9131,S9211,S9212,S9213,S9214,S9335,S9339,S9340,S9342,S9343"
225313009,7.96,80.25,169.64,G0181
64943007,0.0,0.0,0.0,G0186
241443006,0.0,0.0,0.0,G0219
702767007,0.0,0.0,0.0,G0219
229286000,0.0,32.32,86.53,G0237
410198006,0.0,22.5,56.46,"G0238,G0239"
115959002,0.0,852.56,1687.71,"G0339,G0340"
390906007,0.0,24.53,80.7,G0246
134388005,0.0,24.53,80.7,G0246
385806006,0.0,3.4,11.38,"G0247,S9141,S9214,S9455,S9460,S9465"
385955003,0.0,9.34,31.29,"G0247,S0390"
439894008,0.03,51.95,114.96,G0249
416323006,0.0,0.0,0.0,G0252
252745008,0.0,0.0,0.0,G0255
108241001,0.0,78.14,156.63,"G0257,G0491"
265763003,0.0,44.8,114.49,"G0257,G8727"
385904005,-0.02,13.3,39.7,G0268
118804001,0.0,1.68,24.81,G0269
386373004,0.0,48.56,139.67,G0270
