primary,external,count
A02,Y83,2
A02,V29,1
A02,Y73,1
A02,W18,1
A02,W19,1
A02,W18,1
A03,W23,1
A04,Y83,44
A04,W19,32
A04,Y92,28
A04,Y84,28
A04,X58,22
A04,Y90,19
A04,W18,17
A04,Y95,11
A04,W01,10
A04,Y83,5
A04,W19,5
A04,W06,4
A04,X58,4
A04,W18,4
A04,Y82,3
A04,W54,2
A04,Y71,2
A04,W10,2
A04,Y92,2
A04,X08,1
A04,W17,1
A04,W11,1
A04,W26,1
A04,X16,1
A04,W05,1
A04,Y74,1
A04,V18,1
A04,V89,1
A04,W01,1
A04,W05,1
A04,Y73,1
A04,Y90,1
A04,V89,1
A04,W19,1
A04,X58,1
A05,Y92,4
A05,Y83,1
A05,W18,1
A05,W19,1
A07,Y92,1
A08,Y83,10
A08,Y92,9
A08,W19,7
A08,Y84,5
A08,W18,5
A08,Y90,5
A08,X58,4
A08,X58,4
A08,W06,2
A08,W19,2
A08,W01,2
A08,W07,1
A08,Y95,1
A08,Y82,1
A08,V89,1
A08,V99,1
A08,W01,1
A08,W08,1
A08,X50,1
A08,Y83,1
A08,Y92,1
A09,Y92,6
A09,Y84,4
A09,Y83,3
A09,W01,2
A09,Y90,2
A09,W18,2
A09,X58,2
A09,W19,1
A09,X95,1
A09,X58,1
A09,W19,1
A09,Y83,1
A09,Y92,1
A09,Y92,1
A15,X58,2
A15,Y92,2
A15,Y83,1
A15,Y92,1
A15,Y84,1
A17,Y84,1
A18,X58,1
A18,Y83,1
A21,Y95,1
A26,W57,3
A27,X58,1
A28,W55,6
A28,W55,6
A28,Y83,3
A28,W54,2
A28,Y95,2
A28,V48,1
A28,W18,1
A28,Y92,1
A28,W06,1
A31,X58,3
A31,Y84,2
A31,Y83,2
A31,Y95,2
A31,X50,1
A31,X08,1
A31,Y71,1
A31,W19,1
A31,W19,1
A31,W57,1
A31,Y84,1
A31,Y99,1
A32,Y95,1
A32,Y84,1
A32,Y90,1
A37,X58,2
A40,Y95,45
A40,W19,42
A40,X58,35
A40,Y92,31
A40,Y83,30
A40,Y84,30
A40,W18,18
A40,W01,17
A40,W06,7
A40,Y90,6
A40,Y73,5
A40,V89,4
A40,Y71,4
A40,W22,4
A40,W57,4
A40,W55,3
A40,W05,3
A40,W07,3
A40,W19,3
A40,X10,2
A40,X50,2
A40,Y95,2
A40,Y84,2
A40,V47,1
A40,W10,1
A40,W17,1
A40,V49,1
A40,W54,1
A40,W00,1
A40,X19,1
A40,Y82,1
A40,W45,1
A40,X37,1
A40,X99,1
A40,Y04,1
A40,W26,1
A40,Y93,1
A40,X95,1
A40,V58,1
A40,Y24,1
A40,V89,1
A40,X58,1
A40,Y71,1
A40,W18,1
A40,Y82,1
A41,Y95,2800
A41,Y83,1167
A41,W19,1141
A41,Y92,1062
A41,X58,852
A41,Y84,848
A41,W18,564
A41,W01,262
A41,W06,203
A41,Y95,144
A41,Y90,140
A41,Y73,84
A41,X58,79
A41,W19,78
A41,Y83,77
A41,V89,74
A41,W05,63
A41,Y71,60
A41,Y92,49
A41,Y84,46
A41,W18,46
A41,W07,44
A41,W57,42
A41,Y82,41
A41,W22,37
A41,W55,35
A41,Y93,33
A41,X31,32
A41,W17,30
A41,V49,29
A41,W10,29
A41,W34,21
A41,Y99,19
A41,W01,19
A41,Y33,18
A41,W45,15
A41,W54,14
A41,Y65,14
A41,W06,13
A41,V29,12
A41,Y79,12
A41,X50,12
A41,W08,11
A41,W88,10
A41,Y69,8
A41,W20,8
A41,X16,8
A41,X08,8
A41,W05,8
A41,X10,7
A41,Y90,7
A41,V99,6
A41,W23,6
A41,Y73,6
A41,Y71,6
A41,Y04,5
A41,W26,5
A41,V86,5
A41,X30,5
A41,W00,5
A41,V89,5
A41,W07,5
A41,Y92,5
A41,W13,4
A41,W25,4
A41,Y81,4
A41,W11,4
A41,W50,4
A41,Y82,4
A41,Y99,4
A41,W19,4
A41,Y84,4
A41,X12,3
A41,X95,3
A41,V09,3
A41,Y74,3
A41,Y04,3
A41,Y33,3
A41,V49,3
A41,Y95,3
A41,X58,3
A41,V43,2
A41,V00,2
A41,Y37,2
A41,V03,2
A41,V47,2
A41,Y63,2
A41,W46,2
A41,V19,2
A41,Y07,2
A41,X19,2
A41,W31,2
A41,W34,2
A41,X30,2
A41,W31,2
A41,X31,2
A41,X50,2
A41,W22,2
A41,W55,2
A41,W54,2
A41,W45,2
A41,X58,2
A41,W19,2
A41,Y83,2
A41,X72,1
A41,X00,1
A41,V18,1
A41,Y08,1
A41,V54,1
A41,X15,1
A41,Y75,1
A41,X02,1
A41,V39,1
A41,W16,1
A41,W28,1
A41,V48,1
A41,V23,1
A41,Y76,1
A41,V28,1
A41,V80,1
A41,V83,1
A41,W27,1
A41,Y77,1
A41,W04,1
A41,X78,1
A41,Y26,1
A41,W14,1
A41,W30,1
A41,Y36,1
A41,W03,1
A41,Y24,1
A41,X83,1
A41,W29,1
A41,W49,1
A41,V69,1
A41,W00,1
A41,W03,1
A41,W04,1
A41,W08,1
A41,W11,1
A41,W57,1
A41,W94,1
A41,X12,1
A41,X16,1
A41,Y65,1
A41,Y69,1
A41,Y93,1
A41,V00,1
A41,V89,1
A41,W05,1
A41,X50,1
A41,Y79,1
A42,W01,1
A42,Y95,1
A43,W19,1
A43,Y92,1
A44,W55,1
A46,Y92,2
A46,W57,1
A46,X50,1
A46,Y84,1
A48,X58,2
A48,W10,1
A48,W55,1
A48,Y95,1
A48,W19,1
A48,Y83,1
A48,Y83,1
A49,X58,10
A49,Y83,3
A49,W01,1
A49,W18,1
A49,W19,1
A49,V89,1
A49,W54,1
A49,W57,1
A49,Y33,1
A49,W19,1
A51,Y84,1
A52,W07,1
A52,W18,1
A52,X58,1
A53,W10,1
A60,Y84,1
A68,W57,1
A68,W57,1
A69,W57,32
A69,W57,3
A69,Y95,1
A69,Y93,1
A69,Y92,1
A69,W55,1
A69,X32,1
A77,W18,1
A77,W57,1
A77,W01,1
A77,W57,1
A81,W19,1
A81,Y95,1
A85,W07,1
A86,X58,1
A86,W19,1
A87,Y84,3
A87,W19,2
A87,W18,2
A88,W01,1
A88,Y84,1
A92,Y83,3
A92,W57,1
A92,Y84,1
A92,Y92,1
A92,Y83,1
A93,W57,4
A93,W57,2
A93,Y90,1
A93,W18,1
B00,W06,2
B00,W19,2
B00,Y92,2
B00,Y83,2
B00,X58,2
B00,W08,1
B00,Y90,1
B00,Y84,1
B00,X58,1
B00,W10,1
B00,W45,1
B00,Y92,1
B01,W19,1
B01,Y92,1
B01,W18,1
B02,X58,13
B02,Y92,9
B02,Y83,9
B02,W19,6
B02,W19,5
B02,Y92,4
B02,W06,3
B02,X58,3
B02,W57,3
B02,W18,2
B02,Y83,2
B02,W01,2
B02,Y95,1
B02,W01,1
B02,Y90,1
B02,V89,1
B02,W10,1
B02,W11,1
B02,W18,1
B02,W22,1
B02,W55,1
B02,X12,1
B02,X19,1
B02,X31,1
B07,X32,4
B07,W19,3
B07,W54,1
B07,X58,1
B10,W19,1
B15,W57,1
B15,W18,1
B17,Y90,1
B17,X58,1
B17,W57,1
B17,W01,1
B17,W18,1
B17,Y84,1
B17,V48,1
B17,Y90,1
B18,Y83,1
B18,W27,1
B18,W34,1
B18,X58,1
B19,W19,2
B19,X58,2
B19,W57,1
B19,W19,1
B20,Y95,14
B20,X58,11
B20,Y92,7
B20,W19,5
B20,Y83,4
B20,Y90,3
B20,W19,3
B20,V89,2
B20,Y93,1
B20,W18,1
B20,Y71,1
B20,Y73,1
B20,W01,1
B20,X58,1
B20,V49,1
B20,W13,1
B20,W54,1
B20,Y04,1
B20,Y33,1
B20,Y82,1
B20,Y84,1
B20,Y92,1
B20,Y95,1
B20,Y99,1
B25,Y83,6
B25,Y92,1
