gap,state,code,module
procedure->HCPCS,Administer_Allergy_Test,395142003 Allergy screening test (procedure),allergies.json
procedure->HCPCS,Benchmark_Allergy_Test,395142003 Allergy screening test (procedure),allergies/immunotherapy.json
procedure->HCPCS,Immunotherapy_Procedure,180256009 Subcutaneous immunotherapy (procedure),allergies/immunotherapy.json
procedure->HCPCS,Followup_Test,395142003 Allergy screening test (procedure),allergies/immunotherapy.json
procedure->HCPCS,Administer_Epinephrine,313191000 Injection of epinephrine (procedure),allergies/severe_allergic_reaction.json
procedure->HCPCS,Catheter Ablation,18286008 Catheter ablation of tissue of heart (procedure),atrial_fibrillation.json
condition->ICD,History of allotransplantation of bone marrow,152621000119105 History of allotransplantation of bone marrow (situation),bone_marrow_transplant.json
condition->ICD,History of autologous bone marrow transplant,108631000119101 History of autologous bone marrow transplant (situation),bone_marrow_transplant.json
procedure->HCPCS,Hematologic disorder medication review,473220001 Hematologic disorder medication review (procedure),bone_marrow_transplant.json
procedure->HCPCS,Hematologic_disorder_medication_review,473220001 Hematologic disorder medication review (procedure),bone_marrow_transplant.json
condition->ICD,Awaiting transplantation of bone marrow,698303004 Awaiting transplantation of bone marrow (situation),bone_marrow_transplant.json
procedure->HCPCS,Treatment failure risk education,304532001 Treatment failure risk education (procedure),bone_marrow_transplant.json
procedure->HCPCS,Treatment side effects education,304531008 Treatment side effects education (procedure),bone_marrow_transplant.json
procedure->HCPCS,Pre-operative chemotherapy,394894008 Pre-operative chemotherapy (procedure),bone_marrow_transplant.json
condition->ICD,History of peripheral stem cell transplant,153351000119102 History of peripheral stem cell transplant (situation),bone_marrow_transplant.json
procedure->HCPCS,from a donor (allogeneic stem cells),234336002 Hemopoietic stem cell transplant (procedure),bone_marrow_transplant.json
procedure->HCPCS,Discussion,223487003 Discussion about options (procedure),breast_cancer.json
admin-med->HCPCS,Letrozole,200064 letrozole 2.5 MG Oral Tablet,breast_cancer/hormonetherapy_breast.json
admin-med->HCPCS,Anastrozole,199224 anastrozole 1 MG Oral Tablet,breast_cancer/hormonetherapy_breast.json
admin-med->HCPCS,Exemestane,310261 exemestane 25 MG Oral Tablet,breast_cancer/hormonetherapy_breast.json
admin-med->HCPCS,Lapatinib,672149 lapatinib 250 MG Oral Tablet,breast_cancer/hormonetherapy_breast.json
